osmid,y,x,street_count,highway,railway,junction,geometry
305628093,51.7020226,39.2676089,3,,,,POINT (39.2676089 51.7020226)
305628161,51.6977599,39.2633231,3,,,,POINT (39.2633231 51.6977599)
305628163,51.6954637,39.2623733,3,,,,POINT (39.2623733 51.6954637)
305628506,51.6987741,39.2658142,3,,,,POINT (39.2658142 51.6987741)
305628510,51.6983086,39.2669867,3,,,,POINT (39.2669867 51.6983086)
305628666,51.7007607,39.2670159,3,,,,POINT (39.2670159 51.7007607)
305628670,51.700473,39.2684846,3,,,,POINT (39.2684846 51.700473)
305633863,51.7426937,39.3221631,4,,,,POINT (39.3221631 51.7426937)
305635350,51.7432185,39.3257239,3,,,,POINT (39.3257239 51.7432185)
305635357,51.7451592,39.3352735,3,,,,POINT (39.3352735 51.7451592)
305635364,51.7455624,39.3398213,4,,,,POINT (39.3398213 51.7455624)
305637675,51.7349676,39.2668705,3,,,,POINT (39.2668705 51.7349676)
305637676,51.7346957,39.2765742,4,,,,POINT (39.2765742 51.7346957)
305637678,51.7339656,39.2862624,4,,,,POINT (39.2862624 51.7339656)
305637681,51.7344783,39.290924,3,,,,POINT (39.290924 51.7344783)
305637684,51.7347197,39.2912027,3,,,,POINT (39.2912027 51.7347197)
305637745,51.7342285,39.2791742,3,,,,POINT (39.2791742 51.7342285)
305637995,51.7278633,39.2642398,3,,,,POINT (39.2642398 51.7278633)
305637996,51.7287655,39.261792,4,,,,POINT (39.261792 51.7287655)
305637997,51.7295135,39.2611693,4,,,,POINT (39.2611693 51.7295135)
305637999,51.7291366,39.2598679,3,,,,POINT (39.2598679 51.7291366)
306113660,51.6853662,39.2119063,3,,,,POINT (39.2119063 51.6853662)
306113661,51.6833101,39.2131022,4,traffic_signals,,,POINT (39.2131022 51.6833101)
306113662,51.6827788,39.215776,3,traffic_signals,,,POINT (39.215776 51.6827788)
306128954,51.6791583,39.1849048,4,traffic_signals,,,POINT (39.1849048 51.6791583)
306129256,51.6826931,39.2057641,3,traffic_signals,,,POINT (39.2057641 51.6826931)
306129406,51.6805225,39.1847333,3,,,,POINT (39.1847333 51.6805225)
306129738,51.6813695,39.1961121,3,,,,POINT (39.1961121 51.6813695)
306129740,51.6837458,39.1949095,3,,,,POINT (39.1949095 51.6837458)
306131371,51.6581844,39.2044453,4,,,,POINT (39.2044453 51.6581844)
306131372,51.6598211,39.2086336,3,,,,POINT (39.2086336 51.6598211)
306131460,51.6611159,39.2053126,3,,,,POINT (39.2053126 51.6611159)
306131461,51.6574931,39.207103,4,,,,POINT (39.207103 51.6574931)
306132621,51.6381878,39.2093011,4,,,,POINT (39.2093011 51.6381878)
307672720,51.6387005,39.23917,4,traffic_signals,,,POINT (39.23917 51.6387005)
307672842,51.6361814,39.2467541,3,,,,POINT (39.2467541 51.6361814)
307678080,51.7226013,39.3198166,3,,,,POINT (39.3198166 51.7226013)
308941434,51.6845508,39.2163869,3,,,,POINT (39.2163869 51.6845508)
308942309,51.6825296,39.215604,3,,,,POINT (39.215604 51.6825296)
308942312,51.6835906,39.2157628,3,,,,POINT (39.2157628 51.6835906)
308942486,51.6905036,39.2231452,1,,,,POINT (39.2231452 51.6905036)
309522444,51.6755564,39.2091372,3,,,,POINT (39.2091372 51.6755564)
309522470,51.6752753,39.2087718,3,,,,POINT (39.2087718 51.6752753)
309522560,51.6734848,39.2156316,4,traffic_signals,,,POINT (39.2156316 51.6734848)
309522573,51.6717346,39.2125664,3,,,,POINT (39.2125664 51.6717346)
309522581,51.6651987,39.2147118,3,,,,POINT (39.2147118 51.6651987)
309522594,51.6678277,39.2138653,4,,,,POINT (39.2138653 51.6678277)
309522612,51.6712926,39.2127692,3,,,,POINT (39.2127692 51.6712926)
309522625,51.6667513,39.208128,3,,,,POINT (39.208128 51.6667513)
309522630,51.6678468,39.2095286,3,,,,POINT (39.2095286 51.6678468)
309522633,51.6648097,39.2129821,3,,,,POINT (39.2129821 51.6648097)
309522726,51.6520603,39.2016927,3,,,,POINT (39.2016927 51.6520603)
309522741,51.652764,39.2026809,3,,,,POINT (39.2026809 51.652764)
309522761,51.6510218,39.2117292,3,traffic_signals,,,POINT (39.2117292 51.6510218)
309522765,51.6845627,39.1840528,3,,,,POINT (39.1840528 51.6845627)
309522771,51.6852503,39.1804608,4,,,,POINT (39.1804608 51.6852503)
309522792,51.6848276,39.1700496,3,,,,POINT (39.1700496 51.6848276)
309522794,51.681879,39.1704043,3,,,,POINT (39.1704043 51.681879)
309522821,51.6816904,39.1659735,4,traffic_signals,,,POINT (39.1659735 51.6816904)
309522851,51.6781206,39.1654875,3,,,,POINT (39.1654875 51.6781206)
309522875,51.6733799,39.2107496,3,,,,POINT (39.2107496 51.6733799)
309531445,51.6708602,39.2128998,3,,,,POINT (39.2128998 51.6708602)
309531448,51.6701353,39.2107365,3,,,,POINT (39.2107365 51.6701353)
309875301,51.6406669,39.2587229,1,,,,POINT (39.2587229 51.6406669)
309875302,51.637665,39.2443184,3,,,,POINT (39.2443184 51.637665)
309875307,51.6372706,39.246275,3,,,,POINT (39.246275 51.6372706)
309878543,51.6678724,39.212453,4,,,,POINT (39.212453 51.6678724)
309878548,51.668529,39.2130822,3,,,,POINT (39.2130822 51.668529)
309878549,51.6689516,39.2135091,3,,,,POINT (39.2135091 51.6689516)
309878864,51.6642028,39.2118437,3,,,,POINT (39.2118437 51.6642028)
309879627,51.6342102,39.2046646,4,,,,POINT (39.2046646 51.6342102)
309879692,51.6341527,39.1906357,3,,,,POINT (39.1906357 51.6341527)
310400503,51.6735327,39.2157353,4,traffic_signals,,,POINT (39.2157353 51.6735327)
310400509,51.6747639,39.2114867,4,traffic_signals,,,POINT (39.2114867 51.6747639)
310553157,51.6627472,39.2037603,3,,,,POINT (39.2037603 51.6627472)
310674185,51.6367389,39.2093082,3,,,,POINT (39.2093082 51.6367389)
310676340,51.6306491,39.2311846,4,,,,POINT (39.2311846 51.6306491)
310677003,51.642263,39.2478615,1,,,,POINT (39.2478615 51.642263)
310677455,51.6367011,39.2491407,3,,,,POINT (39.2491407 51.6367011)
310677844,51.6367572,39.247076,3,,,,POINT (39.247076 51.6367572)
310677846,51.6370709,39.2472511,3,,,,POINT (39.2472511 51.6370709)
310678724,51.6230521,39.2370315,4,traffic_signals,,,POINT (39.2370315 51.6230521)
310678958,51.6394404,39.2355576,4,,,,POINT (39.2355576 51.6394404)
310680505,51.6333152,39.2325393,4,,,,POINT (39.2325393 51.6333152)
310682655,51.6391051,39.2100713,3,,,,POINT (39.2100713 51.6391051)
311349815,51.6651716,39.2488161,3,traffic_signals,,,POINT (39.2488161 51.6651716)
311793520,51.6664738,39.1983766,4,traffic_signals,,,POINT (39.1983766 51.6664738)
311795387,51.6784492,39.2069943,3,,,,POINT (39.2069943 51.6784492)
311796678,51.674666,39.2115633,4,traffic_signals,,,POINT (39.2115633 51.674666)
312800344,51.6528863,39.2402949,3,,,,POINT (39.2402949 51.6528863)
312803359,51.6597734,39.1856588,3,,,,POINT (39.1856588 51.6597734)
312803367,51.6612484,39.1816011,3,,,,POINT (39.1816011 51.6612484)
312803368,51.6584089,39.1795306,3,,,,POINT (39.1795306 51.6584089)
312803369,51.6635225,39.1832622,4,traffic_signals,,,POINT (39.1832622 51.6635225)
312805602,51.6615572,39.2001697,4,traffic_signals,,,POINT (39.2001697 51.6615572)
312805605,51.6566533,39.1891202,3,,,,POINT (39.1891202 51.6566533)
312805606,51.6559449,39.1874182,4,traffic_signals,,,POINT (39.1874182 51.6559449)
312807121,51.6150585,39.2473817,4,traffic_signals,,,POINT (39.2473817 51.6150585)
312807126,51.619187,39.2504006,4,,,,POINT (39.2504006 51.619187)
312807139,51.6628028,39.1880639,4,traffic_signals,,,POINT (39.1880639 51.6628028)
312807142,51.6670224,39.1750538,3,,,,POINT (39.1750538 51.6670224)
312807158,51.6791,39.1747799,4,traffic_signals,,,POINT (39.1747799 51.6791)
